Carnet,Final
201580036,26
201513561,22
201513483,-1
201513468,-1
201513418,26
201513247,24
201503209,-1
201503040,26
201502979,20
201502915,-1
201502887,25
201502807,20
201415512,23
201408248,-1
201408184,25
201408087,20
201408066,20
201407992,-1
201407941,-1
201400525,22
201400485,24
201400460,20
201400434,25
201400427,-1
201345055,24
201322312,23
201321749,-1
201318304,24
201220324,20
201220014,25
200916276,25
